,종목명,업종명
461,아시아나항공,운수창고업
462,아이마켓코리아,유통업
463,아이에스동서,비금속광물
464,아주스틸,철강금속
465,알루코,철강금속
466,애경산업,화학
467,애경케미칼,화학
468,에넥스,기타제조업
469,에스디바이오센서,의료정밀
470,에스메디,유통업
471,에스엘,운수장비
472,에스엠벡셀,운수장비
473,에스원,서비스업
474,에스제이지세종,운수장비
475,에쓰씨엔지니어링,건설업
476,에어부산,운수창고업
477,에이블씨엔씨,화학
478,에이엔피,전기전자
479,에이프로젠,기계
480,에이프로젠바이오로직스,의약품
481,에이플러스에셋,기타금융
482,엔씨소프트,서비스업
483,엔케이,기계
484,엘브이엠씨홀딩스,유통업
485,엘앤에프,전기전자
486,엠씨넥스,전기전자
487,영보화학,화학
488,영원무역,유통업
489,영원무역홀딩스,기타금융
490,영진약품,의약품
491,영풍,철강금속
492,영풍제지,종이목재
493,영화금속,운수장비
494,영흥,철강금속
495,예스코홀딩스,서비스업
496,오뚜기,음식료품
497,오리엔트바이오,의약품
498,오리온,음식료품
499,오리온홀딩스,기타금융
500,와이투솔루션,전기전자
501,용평리조트,서비스업
502,우리금융지주,기타금융
503,우성,음식료품
504,우신시스템,기계
505,우진,의료정밀
506,우진아이엔에스,건설업
507,우진플라임,기계
508,웅진,서비스업
509,웅진씽크빅,서비스업
510,원림,섬유의복
511,웰바이오텍,유통업
512,윌비스,유통업
513,유나이티드제약,의약품
514,유니드,화학
515,유니온,비금속광물
516,유니온머티리얼,비금속광물
517,유니켐,기타제조업
518,유니퀘스트,유통업
519,유성기업,운수장비
520,유수홀딩스,서비스업
521,유안타증권,증권
522,유엔젤,서비스업
523,유유제약,의약품
524,유진투자증권,증권
525,유한양행,의약품
526,유화증권,증권
527,율촌화학,화학
528,이건산업,종이목재
529,이구산업,철강금속
530,이노션,서비스업
531,이마트,유통업
532,이수페타시스,전기전자
533,이수화학,화학
534,이스타코,서비스업
535,이아이디,유통업
536,이엔플러스,기계
537,이연제약,의약품
538,이월드,기타제조업
539,이화산업,유통업
540,인디에프,섬유의복
541,인바이오젠,유통업
542,인스코비,통신업
543,인지컨트롤스,운수장비
544,인천도시가스,전기가스업
545,인터지스,운수창고업
546,인팩,운수장비
547,일동제약,의약품
548,일동홀딩스,의약품
549,일성건설,건설업
550,일성아이에스,의약품
551,일신방직,섬유의복
552,일신석재,유통업
553,일양약품,의약품
554,일정실업,섬유의복
555,일진다이아,화학
556,일진디스플,전기전자
557,일진전기,전기전자
558,일진하이솔루스,운수장비
559,일진홀딩스,기타금융
560,잇츠한불,화학
561,자이에스앤디,서비스업
562,자화전자,전기전자
563,전방,섬유의복
564,제이에스코퍼레이션,기타제조업
565,제이준코스메틱,화학
566,제일기획,서비스업
567,제일약품,의약품
568,제일연마,비금속광물
569,제일파마홀딩스,서비스업
570,제주은행,은행
571,제주항공,운수창고업
572,조광페인트,화학
573,조광피혁,기타제조업
574,조비,화학
575,조선선재,기계
576,조일알미늄,철강금속
577,조흥,음식료품
578,종근당,의약품
579,종근당바이오,의약품
580,종근당홀딩스,의약품
581,주성코퍼레이션,전기전자
582,주연테크,전기전자
583,지누스,기타제조업
584,지엠비코리아,운수장비
585,지역난방공사,전기가스업
586,진도,유통업
587,진양산업,화학
588,진양폴리,화학
589,진양홀딩스,화학
590,진양화학,화학
591,진에어,운수창고업
592,진원생명과학,의약품
593,진흥기업,건설업
594,참엔지니어링,기계
595,천일고속,운수창고업
596,청호ICT,기계
597,체시스,운수장비
598,카카오,서비스업
599,카카오뱅크,은행
600,카카오페이,기타금융
601,카프로,화학
602,케이비아이동국실업,운수장비
603,케이씨,의료정밀
604,케이씨텍,의료정밀
605,케이카,유통업
606,코리아써키트,전기전자
607,코리안리,보험
608,코스맥스,화학
609,코스맥스비티아이,기타금융
610,코스모신소재,화학
611,코스모화학,화학
612,코아스,기타제조업
613,코오롱,기타금융
614,코오롱ENP,화학
615,코오롱글로벌,건설업
616,코오롱인더,화학
617,코웨이,서비스업
618,콘텐트리중앙,서비스업
619,콜마홀딩스,기타금융
620,콤텍시스템,서비스업
621,쿠쿠홀딩스,기타금융
622,쿠쿠홈시스,서비스업
623,크라운제과,음식료품
624,크라운해태홀딩스,기타금융
625,크래프톤,서비스업
626,키다리스튜디오,서비스업
627,키움증권,증권
628,태경비케이,비금속광물
629,태경산업,화학
630,태경케미컬,화학
631,태광산업,화학
632,태림포장,종이목재
633,태양금속,운수장비
634,태영건설,건설업
635,태원물산,운수장비
636,테이팩스,화학
637,텔코웨어,서비스업
638,토니모리,화학
639,티에이치엔,전기전자
640,티와이홀딩스,기타금융
641,티웨이항공,운수창고업
642,티웨이홀딩스,비금속광물
643,파미셀,의약품
644,팜스코,음식료품
645,팜젠사이언스,의약품
646,팬오션,운수창고업
647,퍼스텍,기계
648,퍼시스,기타제조업
649,페이퍼코리아,종이목재
650,평화산업,운수장비
651,평화홀딩스,운수장비
652,포스코DX,서비스업
653,포스코스틸리온,철강금속
654,포스코인터내셔널,유통업
655,포스코퓨처엠,전기전자
656,풀무원,음식료품
657,풍산,철강금속
658,풍산홀딩스,기타금융
659,플레이그램,유통업
660,하나금융지주,기타금융
661,하나제약,의약품
662,하나투어,서비스업
663,하이브,서비스업
664,하이스틸,철강금속
665,하이트론,전기전자
666,하이트진로,음식료품
667,하이트진로홀딩스,기타금융
668,한국가스공사,전기가스업
669,한국공항,운수창고업
670,한국금융지주,기타금융
671,한국내화,비금속광물
672,한국단자,전기전자
673,한국무브넥스,운수장비
674,한국석유,비금속광물
675,한국수출포장,종이목재
676,한국쉘석유,화학
677,한국앤컴퍼니,기타금융
678,한국자산신탁,기타금융
679,한국전력,전기가스업
680,한국전자홀딩스,기타금융
681,한국제지,종이목재
682,한국종합기술,서비스업
683,한국주강,기계
684,한국주철관,철강금속
685,한국철강,철강금속
686,한국카본,기계
687,한국콜마,화학
688,한국타이어앤테크놀로지,화학
689,한국토지신탁,기타금융
690,한국특강,철강금속
691,한국항공우주,운수장비
692,한국화장품,유통업
693,한국화장품제조,화학
694,한농화성,화학
695,한독,의약품
696,한미글로벌,서비스업
697,한미반도체,기계
698,한미사이언스,기타금융
699,한미약품,의약품
700,한샘,유통업
701,한섬,섬유의복
702,한성기업,음식료품
703,한세실업,섬유의복
704,한세엠케이,유통업
705,한세예스24홀딩스,섬유의복
706,한솔PNS,유통업
707,한솔로지스틱스,운수창고업
708,한솔제지,종이목재
709,한솔케미칼,화학
710,한솔테크닉스,전기전자
711,한솔홀딩스,기타금융
712,한솔홈데코,종이목재
713,한신공영,건설업
714,한신기계,기계
715,한양증권,증권
716,한온시스템,기계
717,한올바이오파마,의약품
718,한익스프레스,운수창고업
719,한일시멘트,비금속광물
720,한일철강,철강금속
721,한일현대시멘트,비금속광물
722,한일홀딩스,비금속광물
723,한전KPS,건설업
724,한전기술,서비스업
725,한전산업,서비스업
726,한진,운수창고업
727,한진중공업홀딩스,전기가스업
728,한진칼,운수창고업
729,한창,유통업
730,한창제지,종이목재
731,한컴라이프케어,의료정밀
732,한화,화학
733,한화생명,보험
734,한화손해보험,보험
735,한화솔루션,화학
736,한화시스템,전기전자
737,한화에어로스페이스,운수장비
738,한화엔진,기계
739,한화오션,운수장비
740,한화투자증권,증권
741,해성디에스,전기전자
742,해태제과식품,음식료품
743,핸즈코퍼레이션,운수장비
744,현대건설,건설업
745,현대글로비스,운수창고업
746,현대로템,운수장비
747,현대리바트,기타제조업
748,현대모비스,운수장비
749,현대백화점,유통업
750,현대비앤지스틸,철강금속
751,현대약품,의약품
752,현대엘리베이,기계
753,현대오토에버,서비스업
754,현대위아,운수장비
755,현대제철,철강금속
756,현대지에프홀딩스,기타금융
757,현대차,운수장비
758,현대차증권,증권
759,현대코퍼레이션,유통업
760,현대코퍼레이션홀딩스,유통업
761,현대퓨처넷,통신업
762,현대해상,보험
763,현대홈쇼핑,유통업
764,형지엘리트,섬유의복
765,혜인,유통업
766,호전실업,섬유의복
767,호텔신라,유통업
768,화성산업,건설업
769,화승알앤에이,운수장비
770,화승엔터프라이즈,기타제조업
771,화승인더,화학
772,화승코퍼레이션,운수장비
773,화신,운수장비
774,화인베스틸,철강금속
775,화천기계,기계
776,화천기공,기계
777,환인제약,의약품
778,황금에스티,철강금속
779,효성,기타금융
780,효성ITX,서비스업
781,효성중공업,전기전자
782,효성첨단소재,화학
783,효성티앤씨,화학
784,효성화학,화학
785,후성,화학
786,휠라홀딩스,유통업
787,휴니드,전기전자
788,휴비스,화학
789,휴스틸,철강금속
790,흥국화재,보험
791,흥아해운,운수창고업
